,rerouting_proactiveness,information_dependency,time_reliability_preference,risk_aversion,familiar_route_preference,time_sensitivity,external_info_sensitivity,route_flexibility
Q6,-0.31329195396907017,-0.19705239025971966,0.04082085201871163,0.12039014996514494,-0.09230468968189379,-0.317753414647792,0.12821921199722738,-0.14619416529550236
Q7,-0.23262438211105424,-0.44263645847956845,-0.020072491541047493,0.3681928727979727,0.012264334563528127,0.02935971296314175,0.023732291582825336,0.1581896942430502
Q15,-0.08480575432346879,-0.35862829419778186,-0.21995410871831023,0.11793320283225064,-0.06875301690392144,-0.15401195923855368,-0.07291035667940766,0.035430784152272306
Q8,-0.2596636401775203,-0.27435985875734076,-0.03952391857347312,0.1184252545840307,0.10890678020813681,0.24381346150905575,0.0025241851931762553,-0.01725066936048209
Q9,-0.2405215395992431,-0.22575327786811125,-0.011344442633669873,0.09325295763281832,0.06899770528051742,0.05060458331999513,0.15684693757686208,0.0447262775458863
Q11,-0.16608519447641776,-0.00674018772427972,0.09583475807233643,0.08496711241958506,-0.03532968204923563,0.028545917631911912,0.06107980676214337,-0.07405589975872715
Q12,-0.384155249095528,-0.2637328831282343,0.04614950252109443,0.2634888110334863,-0.05979946863885291,-0.28284911426287684,0.07005703286396339,-0.06203552150456745
Q13,0.1939355741272628,-0.4220149491883739,-0.5069692381403162,-0.17398847864613745,0.03361548459299699,-0.09450652851257338,0.0033360797265192758,-0.02663199974266278
Q14,0.24860919358209288,-0.42144796440568577,-0.5133790070332369,-0.20493612854775353,0.008577815907678189,0.026721147863791792,0.06768256162010014,-0.03927608367471527
Q16,-0.3634927979656564,-0.1403814532594597,0.07474198202777683,-0.269510909504306,-0.36827217403912466,0.03926687908305649,0.06771498924978255,-0.010509627109371979
Q17,-0.28196925345663615,-0.23111368114899958,0.12103758637638845,-0.15381368089749392,-0.07864376693901842,0.16537499232688718,0.05495342839061695,-0.00887300845243517
Q18,-0.2120001566832172,-0.21436191185705744,-0.11885379200653329,0.11903120920235231,-0.0642101989338013,0.03215708762632264,-0.23219301460895395,0.11211744495786047
Q19,-0.2809648468058519,-0.2867250325802801,-0.03823030356181485,0.12666555407048805,-0.1788954538431281,0.05909474255575835,-0.19073890962694334,0.048474841569366385
Q20,-0.39132536634849496,-0.18250661656485528,0.05956789191881928,-0.11241444070332617,-0.4185388543007712,0.1236578210349635,-0.08606564978337279,-0.041482186099843894
Q22,-0.23079125455985994,0.03930940244802539,0.16420306942606708,-0.33392117079220496,0.1854128605499439,-0.16699628330789906,-0.11803398539897987,0.07557089656778117
Q23_reversed,0.12851161629567984,0.13930331468621202,-0.01749378623492979,0.11711915493494926,-0.17204889833914697,-0.0727454146711379,-0.24729947238364436,-0.1456240803374337
Q25,-0.39885492084596635,-0.019473769132458747,0.18234423719044437,-0.2100913304251653,0.23186866729160113,-0.12077921126403984,-0.023196192602379033,0.0638528610764016
Q29,-0.047867340502366455,-0.25616509213817684,-0.010333431737227096,-0.07448628573768275,0.08390467678776943,-0.018209917944693038,0.027240874886357718,0.24692806538084996
Q27,-0.19696161864550518,0.048333437873923,0.11240703142575272,-0.13640287355389435,0.1051482824474516,-0.1000134327418352,-0.11259122445279794,-0.16005061901239387
Q30,-0.19720862225436586,-0.3246523233826519,0.056105775658701416,0.060054127397529196,0.15594685365764588,0.08446424730884429,0.009414004560442878,-0.10527647473361017
Q24,-0.07499697336176442,-0.15770936051708562,0.02692734914730414,0.02779465359194548,0.11269454809422962,0.013670938584985562,-0.11068973719604472,0.0609621296110581
Q32,-0.20526124812938673,-0.2662493909806362,0.04317420348941209,-0.058495091240316384,0.25532767261211353,-0.012196045315487047,-0.23105346183979444,-0.047860862563616775
Q26,-0.3342121031960894,-0.15659376622273632,0.12193705415601962,0.022413558589703158,0.18362729827284147,0.0936381137860774,0.16870986783298716,-0.037628170126661725
Q33,-0.29026699973863446,-0.2178641827495324,0.0730063900679186,0.07397295240711642,0.17048984324452335,0.14648914945128344,0.0767844790616431,-0.14846023723239934
Q38,-0.14466628475805238,-0.2840470260401905,0.03889275082312951,-0.030471777488226194,0.21671520752443355,0.1380082299311111,-0.14531419186760514,-0.17760562083949155
Q34,-0.3383255328028616,-0.1704144958459051,0.13899442230206369,-0.1614130973881185,0.010017227012169673,-0.06949589659804939,0.03878859083386659,0.08846900797115523
Q28,-0.32768910059865497,-0.07832863461812764,0.13160959238237646,-0.2710795866423894,-0.08696483229109533,-0.04942573705460541,-0.006949866714986261,0.03549808910751688
Q35,-0.3412417508510561,-0.05485387029259395,0.13332120321787688,-0.20026597904173016,0.04398575495894314,0.010615848827775694,0.10075179082551748,0.014864791324543613
Q40_reversed,-0.4996831923040984,0.4666112712157345,-0.3885636239148783,0.0320579393509101,0.004364754233980219,0.059198013864386514,0.051850234626848915,-0.020934167676972926
Q41,-0.5646570656256451,0.39559848858512503,-0.3670998217477417,0.027196628977978685,0.07316265325076872,-0.021269764664878066,-0.055025185723466055,0.03248715139739367
